
Sense HAT Test Program ...

Raspberry UTC Start2021-10-24 10:38:35.053102
UTC Current Time, roll, Pitch, Yaw, AccX, AccY, AccZ, GyroX, GyroY, GyroZ, MagX, MagY, MagZ
2021-10-24 10:38:47.514868 , -15.4984753, -0.2025599, -29.8916287, 0.0029907, -0.2838745, 1.0238037, -0.5182927, -0.4573171, -0.1219512, -281.2500000, -147.0000000, -72.6250000
2021-10-24 10:38:47.729376 , -15.5217668, -0.2066929, -29.8990112, 0.0043335, -0.2831421, 1.0228271, -0.6097561, 0.0304878, 0.0609756, -282.7500000, -148.3750000, -74.0000000
2021-10-24 10:38:47.935431 , -15.5268795, -0.1959440, -30.0041285, 0.0035400, -0.2828979, 1.0216675, -0.4878049, 0.0304878, 0.0609756, -283.1250000, -151.7500000, -74.0000000
2021-10-24 10:38:48.150207 , -15.5534688, -0.1998345, -29.8587003, 0.0029297, -0.2833862, 1.0213623, -0.3658537, -0.0914634, -0.0304878, -283.8750000, -144.8750000, -74.0000000
2021-10-24 10:38:48.365553 , -15.5387665, -0.2466505, -29.8743585, 0.0065308, -0.2818604, 1.0230103, -0.3963415, -0.3048780, -0.0304878, -283.7500000, -148.8750000, -74.3750000
2021-10-24 10:38:48.571645 , -15.5523915, -0.2130528, -29.9105574, 0.0024414, -0.2838135, 1.0224609, -0.4573171, 0.1219512, 0.0914634, -281.3750000, -148.8750000, -72.0000000
2021-10-24 10:38:48.825007 , -15.5615264, -0.2014990, -29.9828410, 0.0028687, -0.2848511, 1.0205688, -0.1219512, -0.0914634, -0.0304878, -282.5000000, -150.1250000, -74.6250000
2021-10-24 10:38:49.049473 , -15.5320176, -0.2330539, -30.0285856, 0.0051880, -0.2814331, 1.0230103, -0.2743902, -0.3353659, -0.0914634, -281.7500000, -149.5000000, -74.0000000
2021-10-24 10:38:49.264916 , -15.5651692, -0.2398776, -30.0508005, 0.0050659, -0.2850342, 1.0223999, -0.5182927, 0.0000000, 0.0609756, -282.0000000, -149.8750000, -72.0000000
2021-10-24 10:38:49.477006 , -15.5882219, -0.2278433, -30.0300208, 0.0028076, -0.2846680, 1.0213623, -0.3963415, -0.1219512, -0.0304878, -279.5000000, -146.5000000, -74.0000000
2021-10-24 10:38:49.679145 , -15.5752617, -0.2475638, -30.0586651, 0.0043945, -0.2832642, 1.0209961, -0.1524390, -0.3963415, -0.0609756, -282.5000000, -149.5000000, -75.0000000
2021-10-24 10:38:49.880980 , -15.5694852, -0.2562038, -29.9893839, 0.0047607, -0.2825928, 1.0230713, -0.3658537, -0.0914634, 0.0609756, -286.7500000, -149.6250000, -73.3750000
2021-10-24 10:38:50.084754 , -15.5680219, -0.2457015, -30.0868883, 0.0039673, -0.2838745, 1.0189819, -0.1524390, -0.0914634, 0.0609756, -281.8750000, -151.3750000, -74.0000000
2021-10-24 10:38:50.291005 , -15.6094004, -0.2391407, -30.0511854, 0.0032959, -0.2855835, 1.0213013, -0.5487805, -0.1219512, -0.0609756, -285.3750000, -150.3750000, -71.7500000
2021-10-24 10:38:50.496992 , -15.6448120, -0.2402010, -29.9066428, 0.0039673, -0.2856445, 1.0203857, -0.3353659, 0.0000000, 0.0609756, -283.3750000, -145.0000000, -73.8750000
2021-10-24 10:38:50.702574 , -15.6741568, -0.2163778, -29.9689053, 0.0032349, -0.2863770, 1.0196533, -0.5182927, 0.1524390, -0.0304878, -283.7500000, -150.1250000, -75.5000000
2021-10-24 10:38:50.908833 , -15.6829966, -0.2156339, -30.0081694, 0.0028687, -0.2852783, 1.0193481, -0.4268293, -0.3048780, -0.0304878, -281.8750000, -149.5000000, -73.2500000
2021-10-24 10:38:51.114492 , -15.6890622, -0.2081741, -29.9500660, 0.0018311, -0.2834473, 1.0193481, -0.6707317, -0.3353659, 0.0304878, -285.0000000, -148.0000000, -75.5000000
2021-10-24 10:38:51.319790 , -15.6802368, -0.2116074, -29.9151046, 0.0042725, -0.2847290, 1.0221558, -0.3048780, 0.0609756, 0.0304878, -285.8750000, -148.6250000, -75.7500000
2021-10-24 10:38:51.525104 , -15.6467473, -0.2184898, -29.8907684, 0.0023804, -0.2832642, 1.0212402, -0.0609756, -0.4878049, -0.0914634, -282.1250000, -147.2500000, -73.2500000
2021-10-24 10:38:51.731190 , -15.6456609, -0.2289081, -29.8850941, 0.0043945, -0.2847290, 1.0219116, -0.3048780, -0.0914634, -0.1219512, -285.5000000, -149.2500000, -74.1250000
2021-10-24 10:38:51.937565 , -15.6325628, -0.2167248, -29.8042711, 0.0029907, -0.2835083, 1.0206909, -0.1219512, 0.0304878, 0.0304878, -284.1250000, -145.7500000, -75.6250000
2021-10-24 10:38:52.142996 , -15.6502987, -0.2401178, -29.6712203, 0.0040894, -0.2843628, 1.0198975, -0.3658537, -0.3353659, -0.0304878, -287.7500000, -146.1250000, -74.2500000
2021-10-24 10:38:52.349131 , -15.6691632, -0.2298496, -29.7174303, 0.0030518, -0.2859497, 1.0199585, -0.4268293, -0.1829268, 0.0000000, -281.8750000, -147.3750000, -74.3750000
2021-10-24 10:38:52.554165 , -15.6907763, -0.2239755, -29.7173982, 0.0037842, -0.2858276, 1.0185547, -0.4268293, -0.0304878, 0.1219512, -289.0000000, -150.2500000, -75.5000000
2021-10-24 10:38:52.759517 , -15.6677957, -0.2441174, -29.7494116, 0.0047607, -0.2834473, 1.0195312, -0.2743902, -0.3048780, -0.0304878, -284.2500000, -148.5000000, -74.8750000
2021-10-24 10:38:52.964742 , -15.6295522, -0.2327001, -29.8596865, 0.0026855, -0.2821655, 1.0206909, -0.3658537, -0.3353659, 0.0000000, -285.8750000, -152.3750000, -74.5000000
2021-10-24 10:38:53.170280 , -15.6238184, -0.2332836, -29.8929943, 0.0042114, -0.2836914, 1.0209961, -0.3963415, -0.0914634, 0.0609756, -284.7500000, -150.2500000, -73.6250000
2021-10-24 10:38:53.376239 , -15.6217946, -0.2377240, -29.8937874, 0.0021973, -0.2839355, 1.0177612, -0.1219512, -0.6097561, -0.0914634, -283.0000000, -148.0000000, -75.0000000
2021-10-24 10:38:53.581653 , -15.6303384, -0.2708590, -29.8094956, 0.0062256, -0.2835693, 1.0198364, -0.3963415, -0.1524390, -0.0304878, -285.3750000, -147.0000000, -73.6250000
2021-10-24 10:38:53.787623 , -15.6175295, -0.2329402, -29.8731554, 0.0025024, -0.2850342, 1.0206909, 0.0304878, 0.1219512, -0.0304878, -281.0000000, -147.7500000, -75.8750000
2021-10-24 10:38:53.993338 , -15.6094419, -0.2214377, -29.7791061, 0.0021362, -0.2824707, 1.0203857, -0.3048780, -0.1829268, -0.0609756, -285.2500000, -146.3750000, -73.8750000
2021-10-24 10:38:54.199665 , -15.5918915, -0.2472306, -29.8823883, 0.0059814, -0.2830811, 1.0213623, -0.3658537, -0.1829268, -0.0609756, -282.3750000, -149.2500000, -77.6250000
2021-10-24 10:38:54.404835 , -15.6249931, -0.2379855, -29.8457095, 0.0040283, -0.2854004, 1.0212402, -0.5182927, 0.0914634, 0.0304878, -286.2500000, -148.7500000, -74.3750000
2021-10-24 10:38:54.610879 , -15.6178405, -0.2267932, -29.8718312, 0.0029297, -0.2842407, 1.0206909, -0.1829268, -0.1524390, -0.0304878, -285.8750000, -149.7500000, -76.2500000
2021-10-24 10:38:54.816393 , -15.6183496, -0.2209646, -29.9102533, 0.0028687, -0.2850952, 1.0205688, -0.1219512, -0.2439024, -0.0304878, -285.0000000, -150.3750000, -74.3750000
2021-10-24 10:38:55.022008 , -15.6029124, -0.2297189, -29.9423640, 0.0045776, -0.2829590, 1.0213623, -0.3353659, -0.0914634, -0.0304878, -284.2500000, -149.5000000, -75.8750000
2021-10-24 10:38:55.228423 , -15.6115033, -0.2322561, -29.9924787, 0.0042114, -0.2849731, 1.0214844, -0.3353659, -0.1219512, 0.0000000, -283.0000000, -149.7500000, -75.3750000
2021-10-24 10:38:55.433655 , -15.6052146, -0.2572573, -29.9504325, 0.0054321, -0.2833862, 1.0208130, -0.2134146, -0.1829268, -0.0609756, -279.8750000, -144.8750000, -76.6250000
2021-10-24 10:38:55.639859 , -15.5958700, -0.2456187, -29.9599014, 0.0038452, -0.2835083, 1.0211792, -0.2134146, 0.0304878, -0.0609756, -286.2500000, -150.7500000, -73.7500000
2021-10-24 10:38:55.845437 , -15.5973467, -0.2325955, -29.9640453, 0.0030518, -0.2837524, 1.0201416, -0.2743902, -0.1219512, 0.0609756, -284.7500000, -150.0000000, -73.7500000
2021-10-24 10:38:56.051028 , -15.5885315, -0.2509821, -29.9579754, 0.0051270, -0.2831421, 1.0206299, -0.2134146, -0.1524390, -0.0914634, -285.0000000, -149.5000000, -74.2500000
2021-10-24 10:38:56.257198 , -15.5908537, -0.2535459, -29.9002995, 0.0046387, -0.2826538, 1.0201416, -0.3963415, 0.0000000, 0.0304878, -284.8750000, -147.5000000, -75.5000000
2021-10-24 10:38:56.462660 , -15.5994636, -0.2521093, -29.9445763, 0.0045166, -0.2843018, 1.0210571, -0.3963415, -0.0609756, 0.0000000, -283.2500000, -149.7500000, -74.1250000
2021-10-24 10:38:56.668899 , -15.5847469, -0.2507276, -29.9174065, 0.0041504, -0.2827759, 1.0216064, -0.2134146, -0.0609756, -0.0304878, -281.8750000, -146.8750000, -74.2500000
2021-10-24 10:38:56.874289 , -15.5899487, -0.2584713, -29.8965688, 0.0048828, -0.2833862, 1.0210571, -0.3963415, -0.0914634, 0.0304878, -283.5000000, -147.1250000, -77.2500000
2021-10-24 10:38:57.079855 , -15.5861470, -0.2598079, -29.8501558, 0.0043945, -0.2832031, 1.0214844, -0.2439024, -0.0609756, -0.0304878, -286.3750000, -147.3750000, -78.6250000
2021-10-24 10:38:57.285024 , -15.5670321, -0.2570803, -29.9025015, 0.0038452, -0.2820435, 1.0219116, -0.3963415, -0.2134146, -0.0914634, -285.0000000, -150.5000000, -74.6250000
2021-10-24 10:38:57.490237 , -15.5766816, -0.2666022, -29.8546245, 0.0047607, -0.2830200, 1.0217285, -0.4878049, -0.1524390, 0.0000000, -285.0000000, -147.5000000, -75.6250000
2021-10-24 10:38:57.696116 , -15.5745087, -0.2618979, -29.8698307, 0.0042725, -0.2827148, 1.0205078, -0.3963415, -0.0914634, 0.0304878, -282.1250000, -148.2500000, -72.8750000
2021-10-24 10:38:57.901640 , -15.5449538, -0.2594801, -29.9409079, 0.0043945, -0.2822876, 1.0216675, -0.0914634, -0.1219512, -0.0609756, -281.1250000, -148.8750000, -74.7500000
2021-10-24 10:38:58.107343 , -15.5402702, -0.2615001, -30.0031333, 0.0045776, -0.2827759, 1.0214844, -0.3353659, -0.1524390, -0.0609756, -280.8750000, -148.7500000, -75.5000000
2021-10-24 10:38:58.312884 , -15.5559101, -0.2670996, -30.0311092, 0.0050049, -0.2840576, 1.0217896, -0.3963415, -0.1219512, 0.0304878, -282.6250000, -149.3750000, -75.1250000
2021-10-24 10:38:58.519167 , -15.5657705, -0.2648061, -30.0526168, 0.0043335, -0.2836914, 1.0222778, -0.4573171, -0.1524390, 0.0609756, -281.0000000, -148.2500000, -75.7500000
2021-10-24 10:38:58.724506 , -15.5418423, -0.2732029, -30.0886882, 0.0048218, -0.2819214, 1.0214233, -0.1829268, -0.2439024, 0.0000000, -281.2500000, -149.1250000, -75.1250000
2021-10-24 10:38:58.930090 , -15.5580483, -0.2809450, -30.1024935, 0.0049438, -0.2836304, 1.0213013, -0.4573171, -0.2134146, 0.0000000, -283.7500000, -150.0000000, -75.7500000
2021-10-24 10:38:59.136151 , -15.5779507, -0.2549858, -30.0762945, 0.0029907, -0.2851562, 1.0206909, -0.1219512, 0.0609756, -0.0914634, -284.3750000, -149.2500000, -74.6250000
2021-10-24 10:38:59.341454 , -15.5678191, -0.2654688, -29.9629922, 0.0047607, -0.2821045, 1.0220947, -0.2439024, -0.0914634, 0.0000000, -286.0000000, -147.3750000, -74.8750000
2021-10-24 10:38:59.558285 , -15.5462567, -0.2761193, -29.9467357, 0.0055542, -0.2818604, 1.0222778, -0.2134146, -0.0609756, 0.0304878, -284.7500000, -149.3750000, -73.5000000
2021-10-24 10:38:59.795320 , -15.5279254, -0.2623496, -30.0885525, 0.0042725, -0.2814331, 1.0225220, -0.5792683, -0.0609756, -0.0304878, -283.8750000, -153.1250000, -75.6250000
2021-10-24 10:39:00.010057 , -15.5263370, -0.2539566, -29.9977929, 0.0024414, -0.2808838, 1.0230713, -0.6097561, -0.3353659, -0.0304878, -284.5000000, -148.5000000, -70.8750000
2021-10-24 10:39:00.225732 , -15.5329495, -0.2730795, -29.9566847, 0.0066528, -0.2833252, 1.0239258, -0.3353659, 0.0914634, 0.0914634, -284.8750000, -149.3750000, -72.0000000
2021-10-24 10:39:00.450054 , -15.5607389, -0.2746024, -29.9497196, 0.0043945, -0.2836914, 1.0207520, -0.5487805, -0.1219512, -0.2134146, -280.6250000, -146.5000000, -74.7500000
2021-10-24 10:39:00.685592 , -15.5358338, -0.2559582, -29.9237956, 0.0014038, -0.2821045, 1.0219116, 0.0000000, -0.4268293, -0.2439024, -285.1250000, -148.8750000, -73.7500000
2021-10-24 10:39:00.890494 , -15.5272140, -0.2610222, -29.7375424, 0.0040283, -0.2813721, 1.0216064, -0.0914634, -0.0609756, -0.0914634, -286.0000000, -144.5000000, -72.7500000
2021-10-24 10:39:01.115153 , -15.5279077, -0.2305364, -29.5720811, 0.0032349, -0.2829590, 1.0194702, 0.2134146, 0.3658537, 0.2134146, -283.8750000, -143.1250000, -72.1250000
2021-10-24 10:39:01.330846 , -15.3220163, -0.2129588, -29.5657415, 0.0040283, -0.2683716, 1.0220947, 0.6402439, 0.3963415, -0.1829268, -285.8750000, -146.8750000, -74.6250000
2021-10-24 10:39:01.565567 , -14.9466885, -0.1224616, -29.5596272, -0.0006104, -0.2625732, 1.0219727, 4.0853659, 2.0731707, -3.7804878, -293.7500000, -145.0000000, -76.3750000
2021-10-24 10:39:01.771296 , -14.3641020, 0.0876872, -29.5038036, -0.0101929, -0.2397461, 1.0185547, 4.9390244, 2.4390244, -3.0182927, -295.5000000, -144.5000000, -80.5000000
2021-10-24 10:39:02.025086 , -13.4997014, 0.3319726, -29.6639086, -0.0184326, -0.2109375, 1.0250244, 6.0060976, 2.6219512, -5.7317073, -296.0000000, -145.8750000, -88.0000000
2021-10-24 10:39:02.249699 , -13.1225376, 0.5008672, -29.4304598, -0.0201416, -0.2069702, 1.0194702, -0.7317073, 0.1829268, 0.5792683, -299.8750000, -147.5000000, -89.3750000
2021-10-24 10:39:02.455689 , -13.2677817, 0.5830531, -28.8810595, -0.0178833, -0.2254028, 1.0115356, -4.4512195, -0.4573171, 2.4695122, -299.2500000, -139.7500000, -85.1250000
2021-10-24 10:39:02.661147 , -14.4726887, 0.9169960, -27.5055568, -0.0762329, -0.3750000, 1.0401611, 5.5792683, -11.0365854, 14.2987805, -300.6250000, -132.0000000, -80.8750000
2021-10-24 10:39:02.866955 , -12.9117962, 0.2600519, -27.4565773, -0.0291748, -0.2487183, 1.0366211, 28.5670732, -15.0609756, -6.8902439, -298.2500000, -133.2500000, -81.8750000
2021-10-24 10:39:03.073111 , -12.9307149, 0.4302201, -27.5283949, -0.0244751, -0.2471313, 1.0211792, 2.6524390, -1.1280488, -1.1585366, -299.0000000, -139.5000000, -91.3750000
2021-10-24 10:39:03.279514 , -12.4230629, 0.8585534, -28.1499473, -0.0458984, -0.2217407, 1.0192871, 7.7134146, 2.3780488, -12.7439024, -297.1250000, -138.8750000, -88.0000000
